"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"KL24","MBUniversity Teaching Hospital",4,2,0.210526315789474,0.153846153846154,19,13,"Zambia","Eastern Africa","MBIRA"
"KL10","MBQueen Elizabeth Central Hospital",3,2,0.136363636363636,0.111111111111111,22,18,"Malawi","Eastern Africa","MBIRA"
"KL25","MBQueen Elizabeth Central Hospital",2,2,0.0909090909090909,0.111111111111111,22,18,"Malawi","Eastern Africa","MBIRA"
"KL25","BGHOSPITAL 1",2,1,0.0588235294117647,0.0714285714285714,34,14,"South Africa","Southern Africa","BabyGERMS"
"KL39","BGHOSPITAL 5",1,1,0.0476190476190476,0.0714285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"KL136","BGHOSPITAL 5",1,1,0.0476190476190476,0.0714285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"KL7","BGHOSPITAL 2",3,1,0.107142857142857,0.0625,28,16,"South Africa","Southern Africa","BabyGERMS"
"KL10","BGHOSPITAL 4",2,1,0.0909090909090909,0.0909090909090909,22,11,"South Africa","Southern Africa","BabyGERMS"
"KL54","BGHOSPITAL 5",1,1,0.0476190476190476,0.0714285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"KL3","BGHOSPITAL 3",1,1,0.0416666666666667,0.05,24,20,"South Africa","Southern Africa","BabyGERMS"
"KL15","BGHOSPITAL 1",1,1,0.0294117647058824,0.0714285714285714,34,14,"South Africa","Southern Africa","BabyGERMS"
"KL102","BGHOSPITAL 2",1,1,0.0357142857142857,0.0625,28,16,"South Africa","Southern Africa","BabyGERMS"
"KL149","BGHOSPITAL 6",2,1,0.142857142857143,0.0833333333333333,14,12,"South Africa","Southern Africa","BabyGERMS"
"KL158","BGHOSPITAL 1",1,1,0.0294117647058824,0.0714285714285714,34,14,"South Africa","Southern Africa","BabyGERMS"
"KL146","BGHOSPITAL 2",1,1,0.0357142857142857,0.0625,28,16,"South Africa","Southern Africa","BabyGERMS"
"KL30","BGHOSPITAL 5",1,1,0.0476190476190476,0.0714285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"KL24","BGHOSPITAL 1",1,1,0.0294117647058824,0.0714285714285714,34,14,"South Africa","Southern Africa","BabyGERMS"
"KL10","BGHOSPITAL 3",1,1,0.0416666666666667,0.05,24,20,"South Africa","Southern Africa","BabyGERMS"
"KL2","BGHOSPITAL 6",1,1,0.0714285714285714,0.0833333333333333,14,12,"South Africa","Southern Africa","BabyGERMS"
"KL122","BGHOSPITAL 2",1,1,0.0357142857142857,0.0625,28,16,"South Africa","Southern Africa","BabyGERMS"
