"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"O1.v1","AIDH2",1,1,0.0294117647058824,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"OL103","AIDH2",6,1,0.176470588235294,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"O3/O3a","AIDH2",5,1,0.147058823529412,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"O4","AIDH2",6,1,0.176470588235294,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"O3b","AIDH2",1,1,0.0294117647058824,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"O2afg.v2","AIDH2",1,1,0.0294117647058824,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"OL13","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"O3b","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"OL104","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"O3/O3a","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"OL104","MBUniversity Teaching Hospital",1,1,0.0526315789473684,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"O2afg.v2","MBUniversity Teaching Hospital",2,1,0.105263157894737,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"O2afg.v2","MBKilimanjaro Christian Medical Centre",1,1,0.0175438596491228,0.142857142857143,57,7,"Tanzania","Eastern Africa","MBIRA"
