locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
KL39,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
KL136,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
KL54,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
KL3,BGHOSPITAL 3,1,1,0.05,0.0625,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
KL15,BGHOSPITAL 1,1,1,0.0303030303030303,0.0769230769230769,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
KL149,BGHOSPITAL 6,2,1,0.181818181818182,0.111111111111111,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
KL158,BGHOSPITAL 1,1,1,0.0303030303030303,0.0769230769230769,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
KL102,BGHOSPITAL 3,1,1,0.05,0.0625,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
KL146,BGHOSPITAL 2,1,1,0.0454545454545455,0.0833333333333333,22,12,2019,2020,28,16,South Africa,BabyGERMS,Southern Africa
KL30,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
KL17,BGHOSPITAL 3,1,1,0.05,0.0625,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
KL2,BGHOSPITAL 6,1,1,0.0909090909090909,0.111111111111111,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
KL110,BGHOSPITAL 6,2,1,0.181818181818182,0.111111111111111,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
KL54,BGHOSPITAL 4,1,1,0.0526315789473684,0.111111111111111,19,9,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
KL8,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
KL2,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
KL149,BGHOSPITAL 2,1,1,0.0454545454545455,0.0833333333333333,22,12,2019,2020,28,16,South Africa,BabyGERMS,Southern Africa
KL17,BGHOSPITAL 6,1,1,0.0909090909090909,0.111111111111111,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
KL149,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
KL106,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL112,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL180,Blantyre,4,1,0.0133333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL111,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL67,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL49,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL122,Blantyre,2,1,0.00666666666666667,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL61,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL48,Blantyre,11,1,0.0366666666666667,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL35,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL14,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL110,CHRFCMOSH,2,1,0.125,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL27,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL3,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
